id,source,destination,bitrate
0,9,22,157.48512505826142
1,20,8,288.1326872252425
2,26,17,204.4573882509992
3,3,19,191.71545738808587
4,1,21,220.67272691550428
5,7,1,357.1494140798899
6,22,15,245.00970436860456
7,17,5,135.97536329738662
8,20,6,309.5425687565807
9,20,1,234.07317370165953
10,23,27,320.9189532899785
11,26,5,279.17859521524014
12,5,23,301.12860628603954
13,9,18,132.65294930537794
14,9,14,226.63810496133667
15,27,16,187.12541903152984
16,25,3,211.7050417769581
17,14,20,387.8235348911406
18,23,10,138.09496822076
19,19,27,195.70075478477315
20,10,2,305.9284879515203
21,4,15,179.74840957773924
22,8,12,137.0154612497315
23,8,10,406.78433989151995
24,20,11,215.89888502750637
25,3,14,351.648095758398
26,21,16,273.82042496854484
27,9,11,323.17823298426674
28,4,15,212.60782928687837
29,19,11,405.10015003920347
30,17,25,406.41720335889056
31,24,19,373.1220039128887
32,22,11,325.85511883218936
33,26,17,141.0276429983065
34,17,4,334.4903183031163
35,14,3,315.32839573875424
36,16,14,170.62119724133817
37,16,13,183.92899686341275
38,14,21,313.8808329258026
39,8,26,260.593639163184
40,2,1,337.77299451887757
41,2,17,377.332135162808
42,1,9,271.133608159248
43,4,24,400.9233213998735
44,14,27,265.95434111559916
45,21,27,160.25377431158518
46,27,11,360.54497719997977
47,12,16,318.77890561490693
48,24,0,136.188209034499
49,23,17,379.100337269722
50,7,14,210.31984642196034
51,6,23,230.4084872083595
52,13,19,349.05290733237933
53,2,3,206.72657050245803
54,19,21,277.9289076187252
55,1,12,392.7398869124336
56,6,24,324.17372871933543
57,9,7,308.7503757069204
58,19,24,334.4335048649661
59,4,21,239.79382062913524
60,9,8,277.4513610366522
61,21,13,352.53928390373454
62,11,20,155.77392046356474
63,13,4,377.702418718391
64,24,17,193.20768606937602
65,9,27,212.79078584962497
66,17,13,158.55222770983463
67,7,8,267.82278823188216
68,2,14,358.05013934377234
69,23,26,289.85130345738
70,12,21,218.19108491198153
71,6,25,153.99586899436173
72,6,27,301.9929062881165
73,6,23,146.15584278520168
74,22,19,225.39944361689498
75,17,10,213.61773174787115
76,17,20,289.55734546436577
77,11,16,237.67050740876303
78,25,23,172.61720968726166
79,11,10,206.3355569880052
80,27,7,317.98327322316004
81,17,18,215.6532815490726
82,4,6,232.00658852416362
83,18,26,266.6620352080481
84,20,21,334.59093753663626
85,26,15,420.78664794905035
86,23,25,197.9820474456519
87,23,17,181.4940091404878
88,20,1,322.71865994713755
89,26,21,154.05435362500393
90,4,26,265.78447422210024
91,4,0,343.8148782402338
92,1,19,270.81288998192065
93,15,0,374.18617327443826
94,0,16,136.15739988079415
95,16,26,148.61154300684115
96,3,16,171.68115573173813
97,19,16,201.87606007351215
98,25,12,227.71901079500847
99,14,18,275.5963108668226
