id,source,destination,bitrate
0,2,1,146.51530154843522
1,4,3,177.09416807673614
2,4,23,179.30509483116495
3,24,10,233.44971548198592
4,7,22,336.6344161460753
5,13,3,284.6587158395091
6,18,9,388.34611846687784
7,20,1,298.9824853177396
8,12,6,189.9959832033455
9,1,25,158.2125681655745
10,5,15,268.8448850480746
11,12,25,363.9621523096469
12,4,10,290.291985969519
13,10,24,364.44035437454187
14,5,0,376.80290061360284
15,13,2,222.08088120503507
16,4,1,249.37453419274917
17,16,19,217.35793766777806
18,6,23,230.59362544483932
19,1,24,279.9851430147194
20,11,22,353.48064182751847
21,11,10,348.54403924898327
22,15,24,171.22537623668754
23,6,4,203.64762184659244
24,21,23,371.6647721930077
25,16,12,230.8312142779455
26,19,6,339.1462215234942
27,23,25,401.4745797122427
28,23,18,292.995114195103
29,17,24,235.89917694004558
30,9,10,149.13987823024286
31,18,20,277.271778565825
32,13,14,298.5082343748477
33,7,10,333.4449713270474
34,14,8,211.98593152262998
35,1,7,360.98007216367193
36,12,8,222.87159637084048
37,7,1,317.662211223432
38,7,12,291.83290890530395
39,1,2,284.67289204505107
40,17,13,321.0830712825543
41,23,25,309.65231264320994
42,19,21,402.3679076639075
43,18,6,306.89774982919437
44,17,9,363.79302655282726
45,12,17,217.23737789407986
46,17,20,195.02605113695057
47,21,13,138.69878296424787
48,20,7,250.1134247952949
49,3,4,141.57803703171578
50,21,9,192.89308536076086
51,5,13,279.4311432550891
52,5,11,389.1489765182455
53,9,17,399.2732024734357
54,2,4,355.4285330063961
55,7,2,136.68341583141864
56,3,24,195.551547955021
57,3,16,253.03704555574328
58,16,3,296.4718629765793
59,19,8,366.19557220302164
60,25,2,257.9004449916153
61,12,25,195.37341089560306
62,8,23,323.429357932097
63,25,24,349.9340974769243
64,5,4,157.7914977968169
65,16,22,191.37669687756664
66,15,24,201.27087983941198
67,10,12,144.44876589481623
68,25,16,170.93660937218377
69,5,6,209.05739400423292
70,15,24,355.4756726658565
71,22,2,393.4623285739442
72,24,15,363.476307642109
73,14,12,401.59070563452764
74,11,6,358.12275387337195
75,14,6,146.8358320807594
76,11,0,333.83734212580885
77,10,13,360.7684520975014
78,14,2,244.62107686754828
79,19,16,168.3590734741812
80,3,18,402.0998903375244
81,15,17,298.68471618614456
82,24,10,385.06472376141033
83,25,1,349.7496027708546
84,9,17,219.4957491031535
85,1,3,236.24354118190155
86,21,4,239.05168957674766
87,4,8,265.58078325945246
88,2,16,276.1871046670648
89,15,9,160.0615006136577
90,0,9,276.02749539241034
91,22,2,198.23232570881814
92,19,3,318.00738032952074
93,3,8,173.8640843932636
94,3,5,244.02987469171484
95,18,25,209.2345413328448
96,1,8,214.58609821494136
97,17,24,399.13260426169523
98,25,22,163.62178380906929
99,22,17,334.0169834063693
